Section,Title,Corpus,Reference,Tables,Keywords,subject,relation,object,Summary,Concept_range,Synonyms,Relation_Non_Taxonomique,Topic
5.2.1,early identification,risk identification should be performed as possible project lifecycle recognizing paradox uncertainty is high initial stages a project is less information base risk identification early risk identification enables key project decisions take maximum account risks inherent project may result changes project strategy it maximizes time available development implementation risk responses enhances ef ciency since responses taken are costly later ones identify risks,[],[]," identification enable key , lifecycle recognize paradox , recognize paradox uncertainty , high initial stage , base risk identification , identification early risk , early risk identification , risk identification early , risk identification enable , information base risk",time available enhance ef response,perform as possible,one  risk,early strategy maximizes possible change stage decision information account risk key inherent ef base result are maximum development since one initial taken should be lifecycle high it project time later recognizing enables uncertainty performed costly identify paradox ciency enhances available may a identification response is le take .,"['risk identification', 'project lifecycle', 'uncertainty', 'stage project', 'account risk project', 'change project strategy']",['account risk project'],"['should be perform', 'recognize', 'be', 'be', 'take', 'may result', 'maximize', 'be']",Identify Risks
5.2.2,iterative identification,since not risks can be identified given point project is essential risk identification is repeated throughout project life cycle this should be done a frequency determined plan risk management process risk identification might be repeated key milestones project whenever is signi ca nt change project operating environment,[],[]," repeat key milestone , identify give point , frequency determine plan , project operate environment , essential risk identification , process risk identification , determine plan risk , plan risk management , risk management process , management process risk",whenever milestone signi,be essential,nt operate environment,"can change milestone nt ca given risk key frequency done not might .
 identified cycle operating signi plan should be life whenever project process point essential environment a identification management is determined repeated this throughout the project .","['point project', 'risk identification', 'life cycle', 'frequency determine plan', 'management process risk identification']",[],"['risk can be', 'be', 'be repeat', 'should be do', 'risk', 'might be', 'be signi ca nt']",Identify Risks
5.2.3,emergent identification,in addition invoking identify risks process as defined project plan project risk management process should permit risks be identified time not limited formal risk identification events regular reviews,[],[]," event regular review , identification event regular , addition invoke identify , define project plan , project plan project , limit formal risk , formal risk identification , risk identification event , invoke identify risk , plan project risk",risk management process,identify,event regular identification event review,"in risk event review formal not defined identified plan regular should be limited project time .
 if plan isn't defined, identify permit invoking a .
 identification management system .",['risk'],"['risk management process', 'risk']","['project', 'should permit', 'be', 'limit']",Identify Risks
5.2.4,comprehensive identification,a broad range sources risk should be considered ensure many uncertainties as possible might affect objectives have been identified,[],[]," broad range source , range source risk , broad range , range source , source risk , ensure many uncertainty , affect objective , identify , broad , range",many  uncertainty,consider,possible  objective,"range ensure objective affect should be possible been many broad a considered risk have identified uncertainty source might be .
 if a risk has been identified, it might be possible to identify the source of uncertainty .",['range source risk'],[],['should be ensure'],Identify Risks
5.2.5,explicit identification of opportunities,identify risks process should ensure opportunities are considered,[],[]," identify risk process , identify risk , risk process , process should ensure , ensure opportunity , identify , risk , process , ensure , opportunity",identify,ensure,risk opportunity,"ensure should considered risk process opportunity are identify .
 a risk assessment and mitigation plan must be put in place .
 the process should be able to identify opportunities for improvement .",['identify risk process'],[],['should ensure'],Identify Risks
5.2.6,multiple perspectives,identify risks process should take input a broad range project stakeholders ensure perspectives are represented considered limiting risk identification immediate project team is unlikely expose knowable risks,[],[]," stakeholder ensure perspective , identify risk process , broad range project , range project stakeholder , project stakeholder ensure , limit risk identification , expose knowable risk , input a broad , broad range , stakeholder ensure",immediate project team,take,knowable  risk,ensure considered risk team are represented range should input project knowable process limiting identify expose broad a stakeholder identification immediate perspective is unlikely take .,"['identify risk process', 'range project stakeholder']",[],"['should take input', 'ensure be consider', 'be']",Identify Risks
5.2.7,risks linked to project objectives,each identified project risk should relate least one project objective time cost quality scope etc noting pmbok guide defines risk as uncertain event condition that occurs has a positive a negative effect a projects objectives consideration project objective identify risks process will assist identifying risks noting some risks may affect one objective,[],[]," time cost quality , cost quality scope , pmbok guide defines , uncertain event condition , note pmbok guide , objective time cost , project objective time , project objectives consideration , objectives consideration project , consideration project objective",risk risk,relate least,one  objective,"relate scope cost risk event condition positive noting consideration affect etc .
 some effect occurs negative one identified quality should assist .
 identify objective that defines may a least guide .","['identify project risk', 'project time cost quality', 'note pmbok guide', 'risk event condition', 'effect project', 'consideration project identify risk process']",['risk'],"['should relate', 'scope', 'defines', 'occur have', 'objectives', 'will assist identify', 'note', 'may affect']",Identify Risks
5.2.8,complete risk statement,identi ed risks should be described can be understood responsible risk assessment risk response planning single words phrases such as resources logistics are inadequate do not communicate nature risk detailed risk descriptions are required state uncertainty causes effects identify risks,[],[]," response plan single , plan single word , single word phrase , require state uncertainty , understood responsible risk , communicate nature risk , effect identify risk , responsible risk assessment , assessment risk response , risk response plan",such state effect,be,risk,single assessment can required ed risk logistics are not resource nature understood effect identi inadequate phrase description responsible should be planning do cause such communicate uncertainty state identify detailed a described .,"['identi ed risk', 'risk assessment risk response plan word phrase resource logistics']",[],"['should be describe can be', 'be do communicate', 'be']",Identify Risks
5.2.9,ownership and level of detail,risks can be identified a number levels detail a generalized highlevel description risk can make dif cult develop responses assign ownership describing risks a lot detail can create a great deal work each risk should be described a level detail can be assigned a single risk owner clear responsibility accountability management trigger conditions should be identified is possible appropriate,[],[]," number level detail , generalized highlevel description , make dif cult , dif cult develop , cult develop response , great deal work , owner clear responsibility , clear responsibility accountability , responsibility accountability management , accountability management trigger",owner clear management trigger condition,identify,level detail,"clear single can highlevel work possible trigger ownership risk condition appropriate deal generalized .
 assigned owner responsibility great dif describing identified description should be each accountability cult develop detail assign lot number make a response described management is level .","['risk', 'number level', 'highlevel description risk', 'cult', 'deal work risk', 'level detail']",['deal work risk'],"['can be identify', 'detail', 'can make', 'develop', 'can create', 'should be describe', 'can be assign']",Identify Risks
5.2.10,objectivity,all human activities are susceptible bias dealing uncertainty both motivational biases someone is trying bias result one direction another cognitive biases biases occur as people are using best judgment applying heuristics may occur this should be recognized addressed identify risks process sources bias should be exposed wherever possible effect risk process should be managed aim is minimize subjectivity allow open honest identification as many risks as possible project,[],[]," judgment apply heuristic , recognize addressed identify , open honest identification , identify risk process , risk process source , effect risk process , addressed identify risk , process source bias , susceptible bias deal , bias deal uncertainty",subjectivity,expose,possible  project,"subjectivity possible many risk judgment motivational result are dealing susceptible managed direction heuristic another minimize effect recognized human allow one bias best applying source using wherever both should be honest project addressed trying exposed process uncertainty someone identify people open activity may a aim all identification is cognitive this occur .
 if a decision is made based on a subjective assessment of the situation, the decision-making process may be influenced by a number of factors, such as the number of people involved, the degree to which the decision has been made, and the degree","['activity', 'result direction bias bias', 'people', 'judgment']","['result direction bias bias', 'effect risk process']","['be', 'be try', 'occur', 'be', 'may occur should be recognize', 'should be', 'should be manage be minimize']",Identify Risks
5.3,tools and techniques for identify risks process,a range tools techniques is available risk identification these fall following three categories as illustrated figure figure three perspectives risk identification identify risks,"['Figure 5-1', 'Figure 5-1']",[]," range tool technique , perspective risk identification , risk identification identify , identification identify risk , illustrated figure figure , risk identification , range tool , tool technique , fall follow , follow three category",three perspective risk identification,be available,risk,"range these fall available identify three technique a illustrated tool risk identification following figure .
 risk identification is a technique for assessing the likelihood that a person is likely to become ill .",['range tool technique'],[],"['be', 'follow']",Identify Risks
5.3.1,historical review,historical reviews are based occurred past either project other similar projects same organization comparable projects other organizations historical review approaches rely careful selection comparable situations are similar current project ltering data ensure relevant previous risks are considered in case risks identified selected historical situation should be considered asking whether similar risks might arise project,[],[]," base occurred past , approach rely careful , rely careful selection , ltering data ensure , data ensure relevant , ensure relevant previous , review approach rely , careful selection comparable , identify selected historical , historical review approach",similar case risk,occurred past,project,"ensure same asking careful similar selection considered in risk review other approach .
 risk review should be based on historical either identified relevant organization case should be project data current arise .","['review', 'project project organization project organization review approach selection situation', 'data']","['data', 'case risk identify', 'situation', 'risk']","['be base', 'be', 'ltering', 'ensure', 'be consider', 'selected', 'should be consider', 'might arise']",Identify Risks
5.3.2,current assessments,current assessments rely detailed consideration current project analyzing characteristics given frameworks models order expose areas uncertainty unlike historical review approaches current assessment techniques do not rely outside reference points are based examination project,[],[]," analyze characteristic give , characteristic give framework , give framework model , framework model order , model order expose , order expose area , expose area uncertainty , area uncertainty unlike , uncertainty unlike historical , unlike historical review",current  project,rely detailed,approach current reference point,"assessment analyzing given unlike review approach are order consideration not based historical technique model reference framework project .
 project do outside current uncertainty point expose detailed rely examination characteristic area .",['framework model order area uncertainty review approach assessment technique'],['framework model order area uncertainty review approach assessment technique'],"['analyze', 'do rely', 'be']",Identify Risks
5.3.3,creativity techniques,a wide range creativity techniques can be used risk identification encourages project stakeholders use imagination find risks might affect project outcomes effectiveness techniques depend ability participants think these techniques can be used either groups employ varying degrees structure these techniques depend ability participants think success is enhanced use a skilled facilitator each category risk identification technique has strengths weaknesses no single technique can be expected reveal knowable risks identify risks process a particular project should use a combination techniques selecting one category for example a project may choose use a risk identification checklist historical review assumptions analysis current assessment brainstorming creativity use a risk breakdown structure organizes categories potential risks project a prompt list a set generic list categories may assist ensuring as many sources risk as practicable have been addressed recognizing no such tools are complete nor can replace original thinking identify risks whichever risk identification techniques are used is important identified risks are described order ensure project risk process is focused actual risks not distracted diluted nonrisks use structured risk descriptions can ensure clarity risk metalanguage offers a useful way distinguishing a risk causes effects describing risk using threepart statements form as a result cause risk may occur would lead effect relationship cause risk effect is shown figure figure cause risk effect,"['Figure 5-2', 'Figure 5-2']",[]," technique depend ability , depend ability participant , risk identification technique , effectiveness technique depend , identification checklist historical , identification encourages project , category risk identification , risk identification encourages , risk identification checklist , whichever risk identification",show figure figure,focus actual,risk effect,ensuring can distinguishing figure relationship group for not effectiveness assumption historical organizes technique tool facilitator identified range nonrisks assist degree cause potential knowable current thinking .,"['range creativity technique', 'risk identification encourages', 'use imagination', 'risk', 'project', 'technique', 'group', 'degree structure', 'ability participant think success', 'facilitator category risk identification technique', 'technique', 'reveal risk identify risk process project', 'combination techniques', 'category example project', 'risk identification review assumption analysis assessment brainstorming creativity', 'risk project list', 'list category', 'source risk', 'tool', 'thinking identify risk whichever risk identification technique', 'risk', 'order', 'risk', 'nonrisks', 'structure risk description', 'clarity risk metalanguage', 'way']","['ability participant', 'technique', 'risk project list', 'risk', 'statement form result cause risk', 'effect relationship cause risk effect']","['can be', 'project', 'find', 'might affect', 'outcomes', 'depend', 'think', 'can be', 'employ', 'depend', 'be enhance', 'have strengths weaknesses', 'can be', 'should use', 'select', 'may choose use', 'use', 'organize', 'set', 'may assist ensure', 'have be recognize', 'be can replace', 'be be identified', 'be', 'ensure', 'be focus', 'diluted', 'use', 'can ensure', 'offer', 'distinguish', 'use', 'may occur would lead', 'be']",Identify Risks
5.4,documenting results of identify risks process,results identify risks process should be recorded order capture relevant information available identified risk main output identify risks process is risk register this includes a structured risk description nominated risk owner risk may include information causes effects risk trigger conditions preliminary responses,[],[]," identify risk process , condition preliminary response , main output identify , record order capture , order capture relevant , trigger condition preliminary , capture relevant information , result identify risk , identify risk main , output identify risk",structured risk owner risk,identify,preliminary risk trigger response,"register information trigger risk output condition preliminary result order main owner effect .
 register information is structured this include may recorded a response is structured .
 if there is no record of the trigger risk, the risk is deemed to have been .","['risk process', 'register']","['order capture information identify risk output', 'risk process']","['should be', 'identify', 'be risk', 'include', 'may include']",Identify Risks
